date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:53	97070/97070	---M--	200	added ('OK')	text/html	etag:%2270545631%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-003.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-003.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:42:55	54775/54775	---M--	200	added ('OK')	text/html	etag:%221480091935%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-004.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-004.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:42:57	55913/55913	---M--	200	added ('OK')	text/html	etag:%221010328211%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-005.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-005.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:42:59	35023/35023	---M--	200	added ('OK')	text/html	etag:%22540958933%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-006.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-006.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:01	45682/45682	---M--	200	added ('OK')	text/html	etag:%22876175681%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-007.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-007.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:03	30106/30106	---M--	200	added ('OK')	text/html	etag:%222017347729%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-008.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap17-008.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:05	22558/22558	---M--	200	added ('OK')	text/html	etag:%22-1606461029%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-001.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-001.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:07	23653/23653	---M--	200	added ('OK')	text/html	etag:%22339693915%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-002.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-002.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:07	23465/23465	---M--	200	added ('OK')	text/html	etag:%22-801156663%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-003.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-003.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:09	26886/26886	---M--	200	added ('OK')	text/html	etag:%22-465601835%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-004.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-004.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:11	22682/22682	---M--	200	added ('OK')	text/html	etag:%22-1472243371%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-005.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-005.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:13	29271/29271	---M--	200	added ('OK')	text/html	etag:%22-1673592757%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-006.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-006.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:13	25195/25195	---M--	200	added ('OK')	text/html	etag:%22-1069588329%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-007.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-007.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:15	24634/24634	---M--	200	added ('OK')	text/html	etag:%22-734041789%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-008.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-008.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:17	25944/25944	---M--	200	added ('OK')	text/html	etag:%22-666934643%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-009.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-009.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:19	28550/28550	---M--	200	added ('OK')	text/html	etag:%22-1673590385%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-010.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-010.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:21	23368/23368	---M--	200	added ('OK')	text/html	etag:%22541020169%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-011.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-011.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:21	24303/24303	---M--	200	added ('OK')	text/html	etag:%22-1807783931%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-012.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-012.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
